Parameter	pair	nloci	nMissLoc	MissTotProp	shareMissLoc	loci.mismatches	unshareMissLoc	loci.error.rate	n.loci.woNA	allele.mismatches	allele.error.rate
m5_M2	AMP05_NNAPNA-AMP05r_NNAPNA	17674	1870	0.105805137490098	985	885	0.473262032085562	0.0500735543736562	15804	133	0.00841559098962288
m5_M2	CA10_N04TAF-CA10r_N04TAF	17674	6869	0.388649994341971	1521	5348	0.778570388702868	0.302591377164196	10805	383	0.0354465525219806
m5_M2	F101_N9P32-F101r_N9P32	17674	3139	0.177605522236053	756	2383	0.759158967824148	0.134830824940591	14535	326	0.0224286205710354
m5_M2	CC26_N04TAF-CC26r_N04TAF	17674	2915	0.164931537852212	722	2193	0.752315608919383	0.124080570329297	14759	251	0.0170065722609933
m7	B103_N11P34-B103r_N11P34	11527	3927	0.340678407217836	1185	2742	0.698242933537051	0.237876290448512	7600	154	0.0202631578947368
m7	K11_N4P1-K11r_N4P1	11527	2446	0.21219744946647	735	1711	0.699509403107114	0.148434111217142	9081	168	0.0185001651800463
m7	PP4_NNAP1-PP4r_NNAP1	11527	4216	0.36574997831179	1393	2823	0.669592030360531	0.244903270582112	7311	136	0.0186021064149911
m7	M2_N5P9-M2r_N5P9	11527	1367	0.118591133859634	360	1007	0.736649597659108	0.0873601110436367	10160	157	0.0154527559055118
m7	AMP08_NNAPNA-AMP08r_NNAPNA	11527	2064	0.179057864145051	285	1779	0.861918604651163	0.15433330441572	9463	264	0.0278981295572229
m7	AMP05_NNAPNA-AMP05r_NNAPNA	11527	1250	0.108441051444435	675	575	0.46	0.04988288366444	10277	75	0.00729784956699426
m7	CA10_N04TAF-CA10r_N04TAF	11527	5230	0.453717359243515	996	4234	0.809560229445507	0.36731152945259	6297	198	0.0314435445450214
m7	F101_N9P32-F101r_N9P32	11527	2021	0.175327491975362	464	1557	0.770410687778328	0.135074173679188	9506	189	0.0198821796759941
m7	CC26_N04TAF-CC26r_N04TAF	11527	1973	0.171163355599896	503	1470	0.745058286872783	0.127526676498655	9554	155	0.0162235712790454
