"","x"
"195","4236:25"
"196","4236:135"
"197","4261:138"
"198","4291:43"
"199","4291:91"
"200","4291:109"
"201","4300:61"
"202","4300:62"
"203","4300:85"
"204","4382:95"
"205","4382:158"
"206","4409:71"
"207","4409:171"
"208","4409:184"
"209","4409:187"
"210","4420:82"
"211","4427:76"
"212","4427:91"
"213","4427:166"
"214","4438:228"
"215","4467:156"
"216","4467:199"
"217","4467:246"
"218","4478:102"
"219","4478:131"
"220","4478:140"
"221","4502:184"
"222","4534:186"
"223","4561:194"
"224","4611:100"
"225","4611:102"
"226","4611:104"
"227","4656:21"
"228","4656:49"
"229","4658:301"
"230","4700:71"
"231","4727:135"
"232","4727:137"
"233","4751:103"
"234","4751:136"
"235","4751:174"
"236","4785:65"
"237","4785:98"
"238","4875:46"
"239","4875:60"
"240","4875:63"
"241","4875:148"
"242","4880:125"
"243","4910:170"
"244","4948:54"
"245","4956:95"
"246","4956:162"
"247","5058:129"
"248","5058:136"
"249","5109:64"
"250","5176:61"
"251","5249:135"
"252","5249:147"
"253","5287:47"
"254","5411:36"
"255","5411:104"
"256","5433:148"
"257","5464:57"
"258","5587:77"
"259","5587:153"
"260","5587:201"
"261","5598:144"
"262","5620:205"
"263","5679:81"
"264","5680:134"
"265","5680:145"
"266","5680:147"
"267","5680:153"
"268","5680:156"
"269","5680:159"
"270","5680:169"
"271","5680:171"
"272","5680:174"
"273","5680:179"
"274","5680:187"
"275","5680:204"
"276","5680:205"
"277","5680:210"
"278","5680:211"
"279","5680:212"
"280","5680:215"
"281","5769:58"
"282","5769:103"
"283","5769:106"
"284","5769:127"
"285","5776:144"
"286","5791:95"
"287","5791:110"
"288","5791:117"
"289","5791:118"
"290","5791:168"
"291","5791:172"
"292","5791:178"
"293","5791:180"
"294","5791:202"
"295","5827:84"
"296","5828:149"
"297","5841:76"
"298","5841:163"
"299","5841:170"
"300","5846:75"
"301","5872:30"
"302","5926:98"
"303","5969:30"
"304","5986:45"
"305","5986:91"
"306","5986:160"
"307","6054:21"
"308","6054:55"
"309","6187:50"
"310","6187:98"
"311","6256:106"
"312","6270:223"
"313","6276:68"
"314","6276:85"
"315","6296:198"
"316","6305:84"
"317","6305:155"
"318","6316:30"
"319","6316:96"
"320","6316:186"
"321","6334:155"
"322","6347:16"
"323","6347:152"
"324","6347:182"
"325","6410:106"
"326","6410:175"
"327","6410:186"
"328","6410:209"
"329","6418:180"
"330","6419:73"
"331","6419:83"
"332","6419:123"
"333","6527:133"
"334","6527:142"
"335","6678:16"
"336","6678:155"
"337","6732:40"
"338","6732:161"
"339","6778:156"
"340","6869:103"
"341","6869:126"
"342","6893:189"
"343","6898:130"
"344","6919:95"
"345","6919:152"
"346","6948:71"
"347","6948:88"
"348","6983:127"
"349","7003:153"
"350","7104:10"
"351","7124:6"
"352","7124:58"
"353","7144:103"
"354","7148:31"
"355","7148:90"
"356","7156:59"
"357","7156:95"
"358","7258:34"
"359","7258:53"
"360","7258:151"
"361","7292:23"
"362","7292:61"
"363","7292:108"
"364","7304:121"
"365","7308:130"
"366","7335:105"
"367","7348:99"
"368","7355:35"
"369","7355:108"
"370","7355:113"
"371","7355:152"
"372","7357:132"
"373","7379:175"
"374","7389:110"
"375","7392:178"
"376","7406:32"
"377","7455:204"
"378","7468:179"
"379","7551:171"
"380","7595:94"
"381","7603:28"
"382","7631:83"
"383","7631:152"
"384","7639:157"
"385","7675:151"
"386","7682:24"
"387","7682:83"
"388","7690:108"
"389","7690:165"
"390","7708:150"
"391","7725:70"
"392","7725:112"
"393","7763:159"
"394","7811:223"
"395","7832:87"
"396","7869:130"
"397","7869:164"
"398","7932:103"
"399","7932:110"
"400","7932:145"
"401","7951:264"
"402","7954:42"
"403","7954:73"
"404","7954:93"
"405","7954:136"
"406","7962:157"
"407","7962:158"
"408","7971:148"
"409","7973:80"
"410","7986:181"
"411","8040:148"
"412","8098:36"
"413","8098:131"
"414","8098:149"
"415","8098:193"
"416","8116:19"
"417","8152:164"
"418","8163:284"
"419","8163:292"
"420","8171:11"
"421","8181:105"
"422","8222:91"
"423","8264:205"
"424","8355:125"
"425","8360:163"
"426","8362:109"
"427","8410:53"
"428","8410:88"
"429","8410:105"
"430","8410:200"
"431","8453:62"
"432","8453:73"
"433","8453:165"
"434","8477:231"
"435","8523:136"
"436","8595:116"
"437","8595:131"
"438","8595:146"
"439","8595:156"
"440","8633:12"
"441","8633:53"
"442","8665:142"
"443","8711:231"
"444","8719:232"
"445","8762:56"
"446","8789:153"
"447","8800:153"
"448","8800:154"
"449","8800:155"
"450","8800:156"
"451","8886:164"
"452","8929:96"
"453","8931:109"
"454","8931:146"
"455","8996:104"
"456","9004:104"
"457","9026:100"
"458","9030:72"
"459","9046:29"
"460","9062:102"
"461","9123:178"
"462","9133:170"
"463","9182:160"
"464","9217:44"
"465","9319:66"
"466","9319:184"
"467","9332:204"
"468","9335:83"
"469","9335:158"
"470","9356:263"
"471","9363:209"
"472","9451:208"
"473","9463:114"
"474","9517:102"
"475","9548:125"
"476","9549:137"
"477","9552:152"
"478","9559:128"
"479","9610:22"
"480","9610:142"
"481","9641:175"
"482","9652:139"
"483","9654:93"
"484","9654:94"
"485","9678:24"
"486","9682:179"
"487","9698:31"
"488","9706:137"
"489","9706:185"
"490","9710:118"
"491","9763:170"
"492","9770:161"
"493","9829:53"
"494","9832:200"
"495","9859:147"
"496","9906:140"
"497","9918:31"
"498","9949:164"
"499","9954:185"
"500","9957:38"
"501","9957:134"
"502","9965:177"
"503","9966:57"
"504","9981:176"
"505","9995:46"
"506","10032:125"
"507","10036:51"
"508","10044:21"
"509","10044:110"
"510","10065:19"
"511","10065:47"
"512","10069:110"
"513","10069:133"
"514","10072:119"
"515","10086:38"
"516","10086:41"
"517","10086:77"
"518","10155:129"
"519","10155:130"
"520","10164:125"
"521","10175:11"
"522","10175:123"
"523","10197:166"
"524","10197:177"
"525","10197:183"
"526","10197:187"
"527","10197:189"
"528","10269:47"
"529","10269:53"
"530","10269:130"
"531","10269:149"
"532","10281:50"
"533","10396:160"
"534","10475:111"
"535","10535:35"
"536","10566:21"
"537","10566:186"
"538","10567:67"
"539","10571:137"
"540","10589:200"
"541","10602:105"
"542","10602:106"
"543","10613:66"
"544","10617:173"
"545","10627:89"
"546","10651:156"
"547","10665:199"
"548","10693:16"
"549","10707:68"
"550","10707:94"
"551","10707:136"
"552","10707:157"
"553","10707:166"
"554","10846:146"
"555","10875:34"
"556","10875:79"
"557","10883:63"
"558","11070:139"
"559","11075:93"
"560","11075:177"
"561","11106:42"
"562","11106:50"
"563","11106:58"
"564","11106:62"
"565","11144:108"
"566","11232:120"
"567","11266:26"
"568","11277:16"
"569","11277:151"
"570","11277:177"
"571","11277:180"
"572","11308:15"
"573","11314:35"
"574","11391:102"
"575","11414:149"
"576","11417:64"
"577","11489:76"
"578","11489:77"
"579","11489:135"
"580","11567:164"
"581","11567:296"
"582","11625:101"
"583","11625:119"
"584","11631:236"
"585","11644:148"
"586","11672:102"
"587","11739:145"
"588","11764:159"
"589","11777:205"
"590","11787:96"
"591","11882:192"
"592","11925:47"
"593","11930:64"
"594","11970:77"
"595","12050:161"
"596","12063:26"
"597","12089:15"
"598","12089:148"
"599","12089:171"
"600","12122:122"
"601","12122:139"
"602","12203:212"
"603","12245:11"
"604","12245:111"
"605","12250:107"
"606","12252:156"
"607","12306:124"
"608","12439:86"
"609","12442:125"
"610","12452:91"
"611","12452:126"
"612","12499:69"
"613","12499:78"
"614","12539:168"
"615","12559:52"
"616","12559:141"
"617","12559:157"
"618","12808:118"
"619","12808:121"
"620","12808:157"
"621","12808:175"
"622","12867:101"
"623","12890:44"
"624","12890:91"
"625","12897:13"
"626","12903:181"
"627","12903:230"
"628","12953:179"
"629","13074:123"
"630","13105:211"
"631","13113:124"
"632","13120:35"
"633","13120:72"
"634","13120:130"
"635","13123:148"
"636","13123:163"
"637","13123:265"
"638","13174:126"
"639","13174:184"
"640","13174:222"
"641","13174:235"
"642","13216:7"
"643","13216:79"
"644","13218:74"
"645","13239:162"
"646","13239:211"
"647","13246:47"
"648","13261:107"
"649","13261:117"
"650","13261:144"
"651","13261:147"
"652","13261:208"
"653","13268:156"
"654","13302:132"
"655","13302:138"
"656","13326:118"
"657","13405:8"
"658","13405:37"
"659","13430:40"
"660","13436:154"
"661","13460:17"
"662","13511:136"
"663","13511:189"
"664","13541:70"
"665","13541:111"
"666","13541:121"
"667","13594:188"
"668","13639:189"
"669","13720:49"
"670","13735:175"
"671","13829:131"
"672","13887:234"
"673","13908:166"
"674","13908:167"
"675","13946:42"
"676","13966:149"
"677","14010:92"
"678","14010:123"
"679","14021:15"
"680","14033:135"
"681","14047:93"
"682","14110:78"
"683","14110:125"
"684","14240:75"
"685","14240:116"
"686","14241:37"
"687","14315:19"
"688","14340:221"
"689","14354:142"
"690","14502:119"
"691","14526:80"
"692","14537:155"
"693","14557:67"
"694","14596:97"
"695","14596:117"
"696","14624:179"
"697","14635:137"
"698","14662:115"
"699","14678:115"
"700","14690:71"
"701","14783:196"
"702","14825:35"
"703","14825:62"
"704","14825:145"
"705","14833:68"
"706","14833:71"
"707","14849:57"
"708","14907:47"
"709","14945:105"
"710","14945:119"
"711","14947:111"
"712","14973:18"
"713","14978:244"
"714","15005:65"
"715","15005:68"
"716","15005:155"
"717","15013:164"
"718","15041:16"
"719","15058:62"
"720","15061:34"
"721","15061:126"
"722","15061:260"
"723","15075:88"
"724","15117:94"
"725","15235:101"
"726","15235:114"
"727","15235:153"
"728","15235:156"
"729","15235:234"
"730","15253:14"
"731","15253:16"
"732","15278:63"
"733","15278:87"
"734","15387:54"
"735","15387:69"
"736","15441:179"
"737","15452:40"
"738","15452:97"
"739","15538:118"
"740","15604:66"
"741","15604:118"
"742","15624:109"
"743","15624:110"
"744","15654:147"
"745","15664:66"
"746","15664:209"
"747","15664:273"
"748","15664:284"
"749","15666:98"
"750","15666:167"
"751","15716:161"
"752","15828:77"
"753","15900:205"
"754","15910:161"
"755","15927:71"
"756","15927:179"
"757","15954:112"
"758","15954:161"
"759","15979:57"
"760","15979:90"
"761","15979:142"
"762","15979:144"
"763","15979:146"
"764","16046:207"
"765","16067:149"
"766","16068:103"
"767","16074:111"
"768","16086:128"
"769","16086:183"
"770","16101:94"
"771","16115:34"
"772","16115:57"
"773","16115:172"
"774","16161:112"
"775","16256:75"
"776","16278:39"
"777","16284:108"
"778","16284:171"
"779","16387:33"
"780","16387:87"
"781","16387:117"
"782","16449:123"
"783","16520:103"
"784","16588:146"
"785","16638:68"
"786","16638:109"
"787","16638:142"
"788","16667:43"
"789","16667:44"
"790","16667:133"
"791","16667:134"
"792","16667:151"
"793","16667:189"
"794","16803:65"
"795","16851:109"
"796","16851:127"
"797","16851:176"
"798","16851:180"
"799","16856:28"
"800","16906:60"
"801","16937:155"
"802","16937:167"
"803","17008:84"
"804","17104:83"
"805","17105:65"
"806","17122:72"
"807","17122:79"
"808","17122:105"
"809","17122:147"
"810","17122:173"
"811","17122:189"
"812","17239:15"
"813","17295:149"
"814","17322:139"
"815","17322:143"
"816","17434:150"
"817","17459:108"
"818","17545:214"
"819","17594:246"
"820","17654:178"
"821","17665:41"
"822","17665:157"
"823","17678:227"
"824","17781:175"
"825","17813:43"
"826","17813:100"
"827","17813:114"
"828","17813:122"
"829","17813:142"
"830","17813:144"
"831","17834:225"
"832","17868:132"
"833","17923:148"
"834","17933:182"
"835","17940:12"
"836","17940:25"
"837","17959:223"
"838","17971:184"
"839","17972:19"
"840","17972:92"
"841","17992:101"
"842","18008:136"
"843","18008:175"
"844","18008:185"
"845","18063:153"
"846","18063:180"
"847","18063:196"
"848","18149:10"
"849","18149:70"
"850","18149:181"
"851","18149:183"
"852","18149:184"
"853","18149:251"
"854","18207:85"
"855","18207:96"
"856","18207:99"
"857","18363:49"
"858","18364:170"
"859","18386:36"
"860","18431:66"
"861","18431:75"
"862","18444:33"
"863","18459:169"
"864","18459:180"
"865","18459:192"
"866","18459:243"
"867","18459:252"
"868","18459:267"
"869","18489:299"
"870","18506:60"
"871","18551:91"
"872","18575:125"
"873","18575:147"
"874","18633:59"
"875","18721:84"
"876","18721:138"
"877","18732:87"
"878","18744:36"
"879","18829:6"
"880","18829:30"
"881","18890:77"
"882","18897:109"
"883","18917:176"
"884","18920:55"
"885","18920:87"
"886","18920:103"
"887","18920:174"
"888","18920:177"
"889","18920:199"
"890","18941:148"
"891","18946:129"
"892","18946:130"
"893","18993:59"
"894","18993:174"
"895","18994:73"
"896","19045:150"
"897","19137:10"
"898","19178:169"
"899","19240:108"
"900","19326:100"
"901","19370:185"
"902","19463:55"
"903","19471:146"
"904","19477:77"
"905","19486:84"
"906","19486:89"
"907","19486:94"
"908","19533:146"
"909","19535:157"
"910","19566:99"
"911","19622:96"
"912","19622:97"
"913","19622:162"
"914","19631:156"
"915","19645:19"
"916","19645:84"
"917","19645:132"
"918","19672:61"
"919","19730:64"
"920","19730:71"
"921","19731:69"
"922","19731:125"
"923","19739:85"
"924","19807:116"
"925","19807:181"
"926","19861:121"
"927","19902:150"
"928","19902:159"
"929","19902:191"
"930","19902:196"
"931","19902:223"
"932","19908:160"
"933","19919:54"
"934","19946:154"
"935","19946:207"
"936","19954:99"
"937","19990:206"
"938","19990:207"
"939","20004:203"
"940","20094:108"
"941","20094:116"
"942","20094:148"
"943","20094:150"
"944","20094:202"
"945","20155:143"
"946","20161:67"
"947","20161:72"
"948","20161:102"
"949","20161:111"
"950","20161:118"
"951","20161:124"
"952","20161:144"
"953","20180:101"
"954","20180:132"
"955","20192:108"
"956","20192:109"
"957","20221:162"
"958","20221:192"
"959","20256:163"
"960","20302:26"
"961","20388:129"
"962","20448:156"
"963","20514:206"
"964","20659:8"
"965","20659:22"
"966","20659:28"
"967","20659:89"
"968","20701:148"
"969","20709:28"
"970","20709:37"
"971","20709:107"
"972","20723:29"
"973","20750:216"
"974","20771:24"
"975","20771:33"
"976","20771:34"
"977","20771:42"
"978","20771:98"
"979","20796:23"
"980","20910:109"
"981","20933:151"
"982","20954:97"
"983","21043:215"
"984","21052:126"
"985","21070:84"
"986","21088:138"
"987","21126:119"
"988","21209:47"
"989","21209:49"
"990","21209:91"
"991","21209:108"
"992","21213:187"
"993","21313:44"
"994","21315:184"
"995","21357:31"
"996","21357:116"
"997","21357:117"
"998","21388:169"
"999","21441:69"
"1000","21441:115"
"1001","21509:150"
"1002","21564:102"
"1003","21601:151"
"1004","21733:181"
"1005","21733:204"
"1006","21733:268"
"1007","21733:269"
"1008","21741:107"
"1009","21762:17"
"1010","21762:155"
"1011","21762:217"
"1012","21766:158"
"1013","21766:159"
"1014","21766:175"
"1015","21770:164"
"1016","21876:184"
"1017","21925:69"
"1018","21982:50"
"1019","21995:151"
"1020","22092:26"
"1021","22092:83"
"1022","22092:136"
"1023","22092:137"
"1024","22092:149"
"1025","22180:28"
"1026","22187:69"
"1027","22280:101"
"1028","22292:46"
"1029","22312:89"
"1030","22323:21"
"1031","22323:88"
"1032","22444:186"
"1033","22444:221"
"1034","22444:232"
"1035","22467:135"
"1036","22508:44"
"1037","22508:100"
"1038","22508:188"
"1039","22532:229"
"1040","22541:71"
"1041","22548:48"
"1042","22548:74"
"1043","22548:92"
"1044","22548:93"
"1045","22555:76"
"1046","22595:195"
"1047","22621:151"
"1048","22621:175"
"1049","22636:219"
"1050","22647:170"
"1051","22800:155"
"1052","22855:110"
"1053","22878:32"
"1054","22886:153"
"1055","22922:186"
"1056","22928:23"
"1057","22940:108"
"1058","22979:147"
"1059","23005:210"
"1060","23029:182"
"1061","23136:108"
"1062","23216:112"
"1063","23216:182"
"1064","23259:154"
"1065","23278:9"
"1066","23293:91"
"1067","23340:43"
"1068","23416:143"
"1069","23458:57"
"1070","23458:251"
"1071","23523:143"
"1072","23555:89"
"1073","23589:158"
"1074","23600:152"
"1075","23600:190"
"1076","23606:162"
"1077","23629:109"
"1078","23680:149"
"1079","23690:76"
"1080","23690:86"
"1081","23712:147"
"1082","23774:45"
"1083","23774:57"
"1084","23774:76"
"1085","23774:114"
"1086","23848:61"
"1087","23848:80"
"1088","23917:89"
"1089","23917:176"
"1090","23935:30"
"1091","23955:16"
"1092","23955:74"
"1093","23955:123"
"1094","23955:147"
"1095","23955:159"
"1096","23955:181"
"1097","23955:221"
"1098","23998:12"
"1099","24023:7"
"1100","24065:47"
"1101","24065:208"
"1102","24067:9"
"1103","24095:58"
"1104","24101:170"
"1105","24139:275"
"1106","24161:149"
"1107","24180:42"
"1108","24221:113"
"1109","24221:138"
"1110","24221:145"
"1111","24277:127"
"1112","24347:25"
"1113","24347:28"
"1114","24347:66"
"1115","24347:145"
"1116","24347:154"
"1117","24347:166"
"1118","24347:173"
"1119","24347:189"
"1120","24387:208"
"1121","24426:65"
"1122","24444:90"
"1123","24469:189"
"1124","24471:120"
"1125","24565:195"
"1126","24580:143"
"1127","24598:140"
"1128","24609:45"
"1129","24609:63"
"1130","24609:68"
"1131","24617:156"
"1132","24715:179"
"1133","24786:159"
"1134","24826:7"
"1135","24826:63"
"1136","24826:149"
"1137","24874:66"
"1138","24919:78"
"1139","24930:210"
"1140","24939:22"
"1141","24939:64"
"1142","24995:171"
"1143","25008:56"
"1144","25008:75"
"1145","25008:123"
"1146","25019:37"
"1147","25019:38"
"1148","25042:123"
"1149","25100:171"
"1150","25100:191"
"1151","25106:37"
"1152","25106:74"
"1153","25127:173"
"1154","25129:169"
"1155","25164:15"
"1156","25166:19"
"1157","25177:13"
"1158","25177:48"
"1159","25204:8"
"1160","25204:100"
"1161","25209:88"
"1162","25209:100"
"1163","25255:28"
"1164","25255:67"
"1165","25255:172"
"1166","25275:175"
"1167","25293:5"
"1168","25298:47"
"1169","25298:55"
"1170","25298:162"
"1171","25302:213"
"1172","25348:235"
"1173","25376:107"
"1174","25413:147"
"1175","25415:182"
"1176","25424:115"
"1177","25456:29"
"1178","25456:49"
"1179","25456:196"
"1180","25456:208"
"1181","25456:226"
"1182","25483:24"
"1183","25508:15"
"1184","25508:65"
"1185","25513:220"
"1186","25556:141"
"1187","25567:107"
"1188","25567:167"
"1189","25567:182"
"1190","25634:200"
"1191","25666:84"
"1192","25666:123"
"1193","25666:160"
"1194","25666:180"
"1195","25670:52"
"1196","25827:127"
"1197","25828:17"
"1198","25844:95"
"1199","25893:101"
"1200","25917:92"
"1201","25954:63"
"1202","25954:131"
"1203","25954:187"
"1204","25954:190"
"1205","25954:218"
"1206","25954:252"
"1207","25973:84"
"1208","26001:162"
"1209","26004:152"
"1210","26040:16"
"1211","26140:48"
"1212","26182:114"
"1213","26182:118"
"1214","26182:125"
"1215","26185:191"
"1216","26224:37"
"1217","26257:51"
"1218","26257:64"
"1219","26257:128"
"1220","26257:143"
"1221","26257:152"
"1222","26257:167"
"1223","26269:99"
"1224","26269:121"
"1225","26269:135"
"1226","26269:165"
"1227","26269:166"
"1228","26282:17"
"1229","26282:81"
"1230","26294:74"
"1231","26431:66"
"1232","26434:183"
"1233","26479:69"
"1234","26479:70"
"1235","26519:78"
"1236","26519:90"
"1237","26519:189"
"1238","26519:228"
"1239","26539:156"
"1240","26636:123"
"1241","26636:133"
"1242","26670:104"
"1243","26679:147"
"1244","26696:152"
"1245","26696:166"
"1246","26696:183"
"1247","26702:71"
"1248","26800:76"
"1249","26800:85"
"1250","26800:107"
"1251","26800:166"
"1252","26879:118"
"1253","26899:156"
"1254","26917:80"
"1255","26956:82"
"1256","26956:128"
"1257","26956:138"
"1258","27070:20"
"1259","27070:59"
"1260","27070:136"
"1261","27073:62"
"1262","27074:278"
"1263","27082:96"
"1264","27151:116"
"1265","27237:18"
"1266","27254:46"
"1267","27254:95"
"1268","27285:125"
"1269","27295:133"
"1270","27295:153"
"1271","27295:178"
"1272","27303:166"
"1273","27317:6"
"1274","27317:153"
"1275","27317:162"
"1276","27368:202"
"1277","27379:113"
"1278","27412:174"
"1279","27448:39"
"1280","27584:161"
"1281","27616:39"
"1282","27616:167"
"1283","27616:181"
"1284","27616:222"
"1285","27616:225"
"1286","27663:56"
"1287","27665:97"
"1288","27665:113"
"1289","27679:39"
"1290","27679:51"
"1291","27679:70"
"1292","27679:99"
"1293","27679:253"
"1294","27679:257"
"1295","27679:260"
"1296","27773:27"
"1297","27775:227"
"1298","27851:72"
"1299","27872:164"
"1300","27913:188"
"1301","27932:139"
"1302","27971:134"
"1303","28040:114"
"1304","28094:136"
"1305","28094:137"
"1306","28113:137"
"1307","28228:19"
"1308","28228:30"
"1309","28228:161"
"1310","28228:170"
"1311","28228:171"
"1312","28252:89"
"1313","28270:36"
"1314","28270:39"
"1315","28270:103"
"1316","28288:5"
"1317","28289:178"
"1318","28303:30"
"1319","28303:121"
"1320","28313:80"
"1321","28329:155"
"1322","28329:156"
"1323","28344:140"
"1324","28344:159"
"1325","28344:164"
"1326","28346:151"
"1327","28352:55"
"1328","28352:105"
"1329","28426:177"
"1330","28426:195"
"1331","28470:255"
"1332","28586:151"
"1333","28587:73"
"1334","28587:115"
"1335","28587:165"
"1336","28590:72"
"1337","28590:74"
"1338","28590:123"
"1339","28610:204"
"1340","28613:182"
"1341","28629:113"
"1342","28670:148"
"1343","28670:180"
"1344","28752:169"
"1345","28762:218"
"1346","28785:194"
"1347","28816:205"
"1348","28860:59"
"1349","28910:153"
"1350","28914:75"
"1351","28914:116"
"1352","28941:42"
"1353","28973:186"
"1354","28981:27"
"1355","28981:28"
"1356","28981:33"
"1357","28981:90"
"1358","29003:47"
"1359","29034:71"
"1360","29034:147"
"1361","29034:226"
"1362","29038:116"
"1363","29038:157"
"1364","29080:56"
"1365","29170:105"
"1366","29170:112"
"1367","29170:118"
"1368","29170:129"
"1369","29196:130"
"1370","29229:28"
"1371","29229:57"
"1372","29229:90"
"1373","29229:145"
"1374","29240:118"
"1375","29250:17"
"1376","29250:184"
"1377","29270:127"
"1378","29271:56"
"1379","29271:79"
"1380","29276:33"
"1381","29276:63"
"1382","29276:65"
"1383","29276:101"
"1384","29353:97"
"1385","29366:166"
"1386","29366:168"
"1387","29430:66"
"1388","29436:101"
"1389","29544:86"
"1390","29593:60"
"1391","29593:87"
"1392","29593:125"
"1393","29593:170"
"1394","29716:102"
"1395","29844:106"
"1396","29856:156"
"1397","29915:54"
"1398","29931:176"
"1399","29931:223"
"1400","29954:163"
"1401","29982:56"
"1402","29982:72"
"1403","29982:88"
"1404","29998:125"
"1405","30093:82"
"1406","30093:94"
"1407","30093:149"
"1408","30112:45"
"1409","30116:35"
"1410","30116:41"
"1411","30116:73"
"1412","30220:112"
"1413","30360:138"
"1414","30399:40"
"1415","30539:182"
"1416","30573:131"
"1417","30606:90"
"1418","30689:119"
"1419","30705:157"
"1420","30725:35"
"1421","30737:73"
"1422","30790:32"
"1423","30790:172"
"1424","30817:261"
"1425","30843:208"
"1426","30867:54"
"1427","30900:30"
"1428","30924:72"
"1429","30924:170"
"1430","30983:241"
"1431","30986:85"
"1432","31043:87"
"1433","31043:255"
"1434","31068:149"
"1435","31087:171"
"1436","31115:232"
"1437","31184:43"
"1438","31198:57"
"1439","31198:75"
"1440","31198:83"
"1441","31261:38"
"1442","31261:94"
"1443","31264:125"
"1444","31294:113"
"1445","31323:219"
"1446","31338:132"
"1447","31338:202"
"1448","31360:65"
"1449","31360:81"
"1450","31360:101"
"1451","31367:22"
"1452","31367:133"
"1453","31367:141"
"1454","31409:137"
"1455","31409:183"
"1456","31409:187"
"1457","31409:188"
"1458","31539:123"
"1459","31559:65"
"1460","31559:134"
"1461","31559:164"
"1462","31559:182"
"1463","31559:187"
"1464","31581:205"
"1465","31586:71"
"1466","31586:152"
"1467","31613:120"
"1468","31621:47"
"1469","31628:73"
"1470","31651:82"
"1471","31651:193"
"1472","31659:61"
"1473","31723:30"
"1474","31738:195"
"1475","31789:141"
"1476","31849:72"
"1477","31849:170"
"1478","31872:58"
"1479","31899:172"
"1480","31994:69"
"1481","32014:131"
"1482","32032:38"
"1483","32042:159"
"1484","32079:66"
"1485","32087:106"
"1486","32172:70"
"1487","32182:158"
"1488","32182:204"
"1489","32202:60"
"1490","32202:64"
"1491","32202:130"
"1492","32331:28"
"1493","32335:194"
"1494","32355:70"
"1495","32355:104"
"1496","32369:61"
"1497","32383:88"
"1498","32493:128"
"1499","32520:40"
"1500","32520:116"
"1501","32670:122"
"1502","32670:127"
"1503","32741:130"
