"","x"
"163","2710:73"
"164","2710:81"
"165","2710:118"
"166","2767:9"
"167","2767:65"
"168","2767:145"
"169","2767:189"
"170","2780:168"
"171","2780:173"
"172","2780:211"
"173","2890:6"
"174","2994:159"
"175","3015:124"
"176","3015:267"
"177","3043:129"
"178","3043:146"
"179","3043:171"
"180","3046:181"
"181","3157:55"
"182","3157:76"
"183","3157:106"
"184","3211:59"
"185","3211:96"
"186","3234:7"
"187","3234:126"
"188","3248:153"
"189","3250:219"
"190","3270:165"
"191","3275:272"
"192","3302:33"
"193","3302:52"
"194","3302:74"
"195","3324:23"
"196","3324:68"
"197","3324:69"
"198","3324:79"
"199","3324:125"
"200","3324:192"
"201","3345:47"
"202","3371:134"
"203","3380:11"
"204","3380:37"
"205","3380:38"
"206","3434:183"
"207","3446:158"
"208","3476:6"
"209","3476:87"
"210","3500:108"
"211","3513:151"
"212","3645:46"
"213","3705:82"
"214","3725:104"
"215","3735:11"
"216","3737:176"
"217","3743:48"
"218","3745:139"
"219","3750:55"
"220","3794:62"
"221","3831:41"
"222","3831:115"
"223","3841:47"
"224","3923:96"
"225","3923:132"
"226","3939:94"
"227","3959:171"
"228","3977:46"
"229","3977:85"
"230","3977:102"
"231","3985:89"
"232","4015:12"
"233","4015:107"
"234","4015:108"
"235","4045:16"
"236","4045:75"
"237","4045:79"
"238","4045:112"
"239","4045:185"
"240","4045:199"
"241","4111:132"
"242","4113:115"
"243","4118:145"
"244","4118:156"
"245","4128:184"
"246","4135:77"
"247","4147:152"
"248","4181:58"
"249","4181:157"
"250","4195:212"
"251","4215:168"
"252","4215:170"
"253","4215:173"
"254","4223:131"
"255","4236:25"
"256","4236:135"
"257","4261:51"
"258","4261:138"
"259","4291:15"
"260","4291:43"
"261","4291:91"
"262","4291:109"
"263","4291:175"
"264","4300:61"
"265","4300:62"
"266","4300:85"
"267","4382:95"
"268","4382:158"
"269","4409:48"
"270","4409:71"
"271","4409:156"
"272","4409:171"
"273","4409:184"
"274","4409:187"
"275","4420:82"
"276","4427:76"
"277","4427:91"
"278","4427:166"
"279","4438:210"
"280","4438:228"
"281","4466:19"
"282","4467:156"
"283","4467:199"
"284","4467:246"
"285","4478:102"
"286","4478:131"
"287","4478:140"
"288","4487:140"
"289","4502:184"
"290","4561:194"
"291","4611:34"
"292","4611:100"
"293","4611:102"
"294","4611:104"
"295","4656:21"
"296","4656:49"
"297","4658:301"
"298","4700:71"
"299","4727:72"
"300","4727:135"
"301","4727:137"
"302","4751:55"
"303","4751:103"
"304","4751:136"
"305","4751:161"
"306","4751:174"
"307","4781:120"
"308","4785:98"
"309","4848:33"
"310","4859:214"
"311","4875:46"
"312","4875:60"
"313","4875:63"
"314","4875:148"
"315","4880:125"
"316","4910:47"
"317","4910:164"
"318","4910:170"
"319","4948:54"
"320","4956:90"
"321","4956:95"
"322","4956:162"
"323","5058:129"
"324","5058:136"
"325","5076:31"
"326","5109:64"
"327","5141:138"
"328","5176:61"
"329","5196:86"
"330","5249:147"
"331","5287:47"
"332","5411:34"
"333","5411:36"
"334","5411:104"
"335","5433:135"
"336","5433:148"
"337","5464:57"
"338","5505:156"
"339","5526:176"
"340","5585:81"
"341","5587:77"
"342","5587:153"
"343","5587:201"
"344","5598:144"
"345","5664:45"
"346","5680:134"
"347","5680:145"
"348","5680:147"
"349","5680:153"
"350","5680:156"
"351","5680:159"
"352","5680:169"
"353","5680:171"
"354","5680:174"
"355","5680:179"
"356","5680:187"
"357","5680:204"
"358","5680:205"
"359","5680:210"
"360","5680:212"
"361","5680:215"
"362","5719:81"
"363","5769:44"
"364","5769:58"
"365","5769:103"
"366","5769:106"
"367","5769:127"
"368","5776:144"
"369","5791:95"
"370","5791:110"
"371","5791:117"
"372","5791:118"
"373","5791:168"
"374","5791:172"
"375","5791:178"
"376","5791:180"
"377","5791:202"
"378","5823:132"
"379","5827:84"
"380","5828:149"
"381","5841:76"
"382","5841:163"
"383","5841:170"
"384","5846:75"
"385","5872:30"
"386","5872:100"
"387","5926:22"
"388","5926:98"
"389","5969:30"
"390","5969:207"
"391","5986:91"
"392","6054:21"
"393","6054:55"
"394","6089:81"
"395","6187:27"
"396","6187:50"
"397","6187:98"
"398","6256:106"
"399","6259:73"
"400","6270:223"
"401","6276:68"
"402","6276:85"
"403","6305:8"
"404","6305:84"
"405","6305:155"
"406","6316:30"
"407","6316:96"
"408","6316:186"
"409","6334:155"
"410","6344:7"
"411","6347:16"
"412","6347:182"
"413","6368:129"
"414","6400:169"
"415","6410:106"
"416","6410:175"
"417","6410:186"
"418","6410:209"
"419","6418:180"
"420","6419:38"
"421","6419:73"
"422","6419:83"
"423","6419:123"
"424","6492:110"
"425","6527:132"
"426","6527:133"
"427","6527:142"
"428","6670:47"
"429","6678:16"
"430","6678:155"
"431","6720:128"
"432","6732:40"
"433","6732:161"
"434","6739:18"
"435","6835:35"
"436","6869:103"
"437","6869:126"
"438","6881:9"
"439","6894:169"
"440","6898:130"
"441","6919:53"
"442","6919:95"
"443","6919:152"
"444","6948:22"
"445","6948:71"
"446","6948:88"
"447","7057:21"
"448","7124:6"
"449","7124:58"
"450","7144:103"
"451","7148:15"
"452","7148:31"
"453","7148:90"
"454","7156:12"
"455","7156:59"
"456","7156:95"
"457","7156:128"
"458","7226:78"
"459","7227:22"
"460","7233:61"
"461","7258:34"
"462","7258:53"
"463","7258:151"
"464","7292:22"
"465","7292:23"
"466","7292:61"
"467","7292:108"
"468","7304:33"
"469","7304:121"
"470","7308:113"
"471","7308:130"
"472","7318:16"
"473","7335:105"
"474","7348:99"
"475","7355:35"
"476","7355:108"
"477","7355:113"
"478","7355:152"
"479","7357:132"
"480","7379:175"
"481","7389:110"
"482","7392:178"
"483","7468:179"
"484","7551:171"
"485","7566:5"
"486","7595:78"
"487","7595:94"
"488","7599:123"
"489","7603:28"
"490","7631:83"
"491","7631:152"
"492","7639:157"
"493","7668:23"
"494","7682:23"
"495","7682:24"
"496","7682:83"
"497","7690:108"
"498","7690:165"
"499","7725:18"
"500","7725:70"
"501","7725:112"
"502","7725:154"
"503","7743:162"
"504","7746:105"
"505","7763:159"
"506","7801:136"
"507","7811:223"
"508","7832:38"
"509","7832:87"
"510","7832:166"
"511","7869:130"
"512","7869:164"
"513","7890:9"
"514","7932:103"
"515","7932:110"
"516","7932:145"
"517","7951:264"
"518","7954:42"
"519","7954:73"
"520","7954:93"
"521","7954:136"
"522","7962:157"
"523","7962:158"
"524","7971:148"
"525","7973:80"
"526","8019:34"
"527","8023:29"
"528","8040:114"
"529","8040:148"
"530","8065:11"
"531","8098:131"
"532","8098:193"
"533","8116:19"
"534","8163:284"
"535","8163:292"
"536","8171:11"
"537","8199:40"
"538","8206:128"
"539","8222:21"
"540","8222:91"
"541","8264:205"
"542","8307:203"
"543","8355:80"
"544","8355:125"
"545","8360:163"
"546","8410:53"
"547","8410:88"
"548","8410:105"
"549","8410:200"
"550","8453:5"
"551","8453:62"
"552","8453:73"
"553","8453:165"
"554","8473:203"
"555","8477:231"
"556","8567:170"
"557","8595:26"
"558","8595:116"
"559","8595:129"
"560","8595:131"
"561","8595:146"
"562","8595:156"
"563","8599:110"
"564","8630:204"
"565","8633:12"
"566","8633:53"
"567","8665:142"
"568","8711:231"
"569","8762:56"
"570","8772:86"
"571","8789:153"
"572","8800:153"
"573","8800:154"
"574","8800:155"
"575","8800:156"
"576","8841:154"
"577","8886:164"
"578","8929:96"
"579","8931:109"
"580","8931:146"
"581","8972:142"
"582","8996:104"
"583","9026:100"
"584","9030:72"
"585","9046:29"
"586","9062:102"
"587","9071:11"
"588","9133:170"
"589","9217:44"
"590","9243:162"
"591","9332:204"
"592","9335:24"
"593","9335:83"
"594","9335:129"
"595","9335:158"
"596","9356:53"
"597","9356:263"
"598","9363:209"
"599","9408:96"
"600","9436:120"
"601","9463:114"
"602","9473:33"
"603","9473:134"
"604","9517:5"
"605","9517:102"
"606","9548:125"
"607","9549:129"
"608","9549:137"
"609","9552:152"
"610","9559:128"
"611","9610:22"
"612","9610:142"
"613","9641:171"
"614","9641:175"
"615","9652:139"
"616","9654:93"
"617","9654:94"
"618","9660:176"
"619","9678:24"
"620","9682:179"
"621","9698:30"
"622","9698:31"
"623","9706:185"
"624","9710:118"
"625","9763:170"
"626","9767:62"
"627","9770:161"
"628","9829:53"
"629","9832:170"
"630","9832:200"
"631","9859:83"
"632","9859:147"
"633","9906:140"
"634","9918:28"
"635","9918:31"
"636","9921:144"
"637","9931:119"
"638","9954:185"
"639","9957:38"
"640","9957:134"
"641","9965:177"
"642","9981:176"
"643","9995:46"
"644","10032:125"
"645","10032:159"
"646","10036:51"
"647","10044:110"
"648","10058:63"
"649","10065:10"
"650","10065:19"
"651","10065:47"
"652","10069:101"
"653","10069:110"
"654","10069:133"
"655","10072:52"
"656","10072:119"
"657","10072:153"
"658","10086:41"
"659","10086:77"
"660","10144:97"
"661","10155:130"
"662","10164:125"
"663","10172:162"
"664","10175:11"
"665","10175:123"
"666","10197:166"
"667","10197:177"
"668","10197:183"
"669","10197:187"
"670","10197:189"
"671","10269:47"
"672","10269:53"
"673","10269:130"
"674","10269:149"
"675","10281:23"
"676","10281:50"
"677","10281:155"
"678","10324:162"
"679","10396:160"
"680","10448:158"
"681","10480:16"
"682","10535:35"
"683","10566:21"
"684","10566:186"
"685","10567:61"
"686","10567:67"
"687","10571:137"
"688","10589:200"
"689","10602:105"
"690","10602:106"
"691","10602:133"
"692","10613:66"
"693","10627:89"
"694","10693:16"
"695","10707:68"
"696","10707:94"
"697","10707:136"
"698","10707:157"
"699","10707:166"
"700","10729:57"
"701","10846:146"
"702","10875:34"
"703","10875:79"
"704","10883:13"
"705","10883:63"
"706","10934:160"
"707","11033:118"
"708","11070:139"
"709","11075:93"
"710","11075:177"
"711","11106:9"
"712","11106:42"
"713","11106:50"
"714","11106:58"
"715","11106:62"
"716","11106:121"
"717","11110:198"
"718","11144:108"
"719","11232:120"
"720","11266:26"
"721","11267:157"
"722","11277:16"
"723","11277:151"
"724","11277:177"
"725","11277:180"
"726","11278:92"
"727","11299:136"
"728","11308:15"
"729","11314:35"
"730","11391:102"
"731","11414:149"
"732","11417:64"
"733","11450:188"
"734","11489:76"
"735","11489:77"
"736","11489:135"
"737","11522:103"
"738","11567:164"
"739","11567:296"
"740","11621:89"
"741","11625:101"
"742","11625:119"
"743","11672:102"
"744","11694:212"
"745","11739:119"
"746","11739:145"
"747","11764:159"
"748","11777:205"
"749","11778:114"
"750","11787:96"
"751","11789:60"
"752","11882:192"
"753","11925:47"
"754","11930:64"
"755","11959:44"
"756","11970:77"
"757","11978:38"
"758","12028:47"
"759","12036:87"
"760","12063:26"
"761","12089:15"
"762","12089:148"
"763","12089:171"
"764","12122:78"
"765","12122:122"
"766","12122:139"
"767","12182:92"
"768","12191:75"
"769","12203:212"
"770","12223:5"
"771","12245:11"
"772","12245:111"
"773","12250:107"
"774","12252:156"
"775","12306:124"
"776","12357:58"
"777","12394:7"
"778","12439:86"
"779","12442:125"
"780","12452:126"
"781","12480:182"
"782","12499:69"
"783","12499:78"
"784","12514:142"
"785","12539:168"
"786","12559:52"
"787","12559:141"
"788","12559:157"
"789","12592:79"
"790","12593:94"
"791","12609:27"
"792","12645:150"
"793","12769:78"
"794","12808:95"
"795","12808:118"
"796","12808:121"
"797","12808:157"
"798","12808:175"
"799","12867:61"
"800","12867:101"
"801","12890:44"
"802","12897:13"
"803","12903:181"
"804","12903:230"
"805","13042:70"
"806","13074:123"
"807","13105:211"
"808","13113:124"
"809","13120:35"
"810","13120:72"
"811","13120:130"
"812","13123:148"
"813","13123:163"
"814","13123:265"
"815","13174:126"
"816","13174:184"
"817","13174:222"
"818","13174:235"
"819","13216:79"
"820","13218:74"
"821","13239:162"
"822","13239:211"
"823","13246:47"
"824","13261:107"
"825","13261:117"
"826","13261:144"
"827","13261:147"
"828","13261:207"
"829","13261:208"
"830","13268:156"
"831","13302:62"
"832","13302:132"
"833","13302:138"
"834","13326:93"
"835","13326:118"
"836","13405:8"
"837","13405:37"
"838","13430:20"
"839","13430:40"
"840","13436:154"
"841","13453:78"
"842","13460:17"
"843","13470:122"
"844","13508:146"
"845","13511:189"
"846","13527:96"
"847","13541:111"
"848","13541:121"
"849","13580:158"
"850","13594:181"
"851","13594:188"
"852","13603:106"
"853","13639:189"
"854","13829:131"
"855","13887:234"
"856","13908:166"
"857","13908:167"
"858","13941:37"
"859","13946:42"
"860","13957:5"
"861","14010:58"
"862","14010:92"
"863","14010:123"
"864","14021:15"
"865","14033:135"
"866","14047:11"
"867","14047:93"
"868","14110:42"
"869","14110:78"
"870","14110:125"
"871","14211:50"
"872","14240:75"
"873","14240:116"
"874","14241:8"
"875","14241:37"
"876","14267:120"
"877","14315:19"
"878","14340:221"
"879","14354:142"
"880","14397:80"
"881","14407:77"
"882","14436:86"
"883","14457:57"
"884","14502:87"
"885","14502:119"
"886","14515:45"
"887","14526:80"
"888","14557:16"
"889","14557:67"
"890","14557:139"
"891","14596:97"
"892","14596:117"
"893","14624:179"
"894","14635:53"
"895","14635:137"
"896","14682:34"
"897","14690:71"
"898","14761:36"
"899","14783:196"
"900","14794:17"
"901","14825:62"
"902","14833:30"
"903","14833:68"
"904","14833:71"
"905","14849:57"
"906","14907:47"
"907","14945:54"
"908","14945:105"
"909","14945:119"
"910","14947:111"
"911","14973:18"
"912","14978:244"
"913","15005:65"
"914","15005:68"
"915","15005:155"
"916","15013:164"
"917","15041:16"
"918","15058:62"
"919","15061:126"
"920","15061:260"
"921","15068:55"
"922","15075:77"
"923","15075:88"
"924","15117:94"
"925","15144:74"
"926","15167:134"
"927","15235:101"
"928","15235:114"
"929","15235:153"
"930","15235:156"
"931","15235:234"
"932","15253:14"
"933","15253:16"
"934","15268:20"
"935","15278:63"
"936","15278:87"
"937","15311:59"
"938","15382:151"
"939","15385:82"
"940","15387:54"
"941","15387:69"
"942","15452:40"
"943","15452:97"
"944","15478:188"
"945","15528:72"
"946","15538:118"
"947","15604:66"
"948","15604:118"
"949","15624:109"
"950","15624:110"
"951","15632:148"
"952","15654:147"
"953","15664:66"
"954","15664:209"
"955","15664:273"
"956","15664:284"
"957","15666:98"
"958","15666:167"
"959","15716:161"
"960","15828:77"
"961","15884:83"
"962","15900:205"
"963","15908:128"
"964","15910:108"
"965","15910:161"
"966","15927:71"
"967","15927:179"
"968","15954:112"
"969","15954:161"
"970","15979:57"
"971","15979:90"
"972","15979:142"
"973","15979:144"
"974","15979:146"
"975","16001:110"
"976","16024:47"
"977","16046:124"
"978","16046:207"
"979","16067:143"
"980","16067:149"
"981","16068:103"
"982","16071:22"
"983","16074:111"
"984","16086:128"
"985","16086:183"
"986","16101:52"
"987","16101:94"
"988","16115:5"
"989","16115:34"
"990","16115:57"
"991","16115:148"
"992","16115:172"
"993","16161:112"
"994","16172:222"
"995","16256:75"
"996","16278:39"
"997","16284:79"
"998","16284:108"
"999","16284:171"
"1000","16387:33"
"1001","16387:87"
"1002","16387:117"
"1003","16449:123"
"1004","16454:54"
"1005","16520:103"
"1006","16587:152"
"1007","16588:146"
"1008","16638:8"
"1009","16638:68"
"1010","16638:109"
"1011","16638:142"
"1012","16667:43"
"1013","16667:44"
"1014","16667:133"
"1015","16667:134"
"1016","16667:151"
"1017","16667:189"
"1018","16803:65"
"1019","16838:83"
"1020","16851:62"
"1021","16851:109"
"1022","16851:127"
"1023","16851:165"
"1024","16851:176"
"1025","16851:180"
"1026","16897:183"
"1027","16906:60"
"1028","16937:155"
"1029","16937:167"
"1030","17008:40"
"1031","17008:84"
"1032","17017:50"
"1033","17104:83"
"1034","17122:72"
"1035","17122:79"
"1036","17122:105"
"1037","17122:147"
"1038","17122:173"
"1039","17122:189"
"1040","17143:137"
"1041","17156:174"
"1042","17163:158"
"1043","17197:128"
"1044","17277:7"
"1045","17295:149"
"1046","17322:139"
"1047","17322:143"
"1048","17434:150"
"1049","17477:128"
"1050","17545:214"
"1051","17576:18"
"1052","17594:246"
"1053","17654:76"
"1054","17665:40"
"1055","17665:41"
"1056","17665:157"
"1057","17678:227"
"1058","17703:126"
"1059","17781:175"
"1060","17813:43"
"1061","17813:100"
"1062","17813:114"
"1063","17813:122"
"1064","17813:134"
"1065","17813:142"
"1066","17813:144"
"1067","17834:225"
"1068","17868:59"
"1069","17868:132"
"1070","17928:139"
"1071","17933:182"
"1072","17940:12"
"1073","17940:25"
"1074","17959:223"
"1075","17971:184"
"1076","17972:19"
"1077","17972:92"
"1078","17992:26"
"1079","17992:101"
"1080","18008:18"
"1081","18008:136"
"1082","18008:175"
"1083","18008:185"
"1084","18036:158"
"1085","18063:180"
"1086","18063:196"
"1087","18149:70"
"1088","18149:183"
"1089","18149:184"
"1090","18149:251"
"1091","18191:30"
"1092","18207:85"
"1093","18207:96"
"1094","18207:99"
"1095","18215:30"
"1096","18246:156"
"1097","18309:85"
"1098","18364:170"
"1099","18372:47"
"1100","18386:36"
"1101","18431:66"
"1102","18431:75"
"1103","18444:33"
"1104","18451:23"
"1105","18459:169"
"1106","18459:180"
"1107","18459:192"
"1108","18459:243"
"1109","18459:252"
"1110","18459:267"
"1111","18472:70"
"1112","18489:299"
"1113","18506:60"
"1114","18575:119"
"1115","18575:125"
"1116","18575:147"
"1117","18633:59"
"1118","18721:84"
"1119","18721:138"
"1120","18732:87"
"1121","18829:6"
"1122","18829:30"
"1123","18829:187"
"1124","18890:29"
"1125","18890:77"
"1126","18890:137"
"1127","18897:26"
"1128","18897:109"
"1129","18917:174"
"1130","18917:176"
"1131","18920:55"
"1132","18920:87"
"1133","18920:103"
"1134","18920:174"
"1135","18920:177"
"1136","18920:199"
"1137","18925:81"
"1138","18941:26"
"1139","18946:129"
"1140","18946:130"
"1141","18980:118"
"1142","18993:59"
"1143","18993:174"
"1144","19027:88"
"1145","19045:150"
"1146","19136:35"
"1147","19136:168"
"1148","19137:10"
"1149","19137:61"
"1150","19178:169"
"1151","19265:48"
"1152","19275:168"
"1153","19326:100"
"1154","19370:185"
"1155","19423:153"
"1156","19425:57"
"1157","19428:165"
"1158","19463:51"
"1159","19463:55"
"1160","19471:93"
"1161","19471:146"
"1162","19477:23"
"1163","19477:77"
"1164","19477:131"
"1165","19486:46"
"1166","19486:84"
"1167","19486:89"
"1168","19486:94"
"1169","19494:7"
"1170","19533:146"
"1171","19535:157"
"1172","19555:74"
"1173","19622:30"
"1174","19622:96"
"1175","19622:97"
"1176","19622:131"
"1177","19622:162"
"1178","19631:156"
"1179","19634:147"
"1180","19645:19"
"1181","19645:132"
"1182","19672:61"
"1183","19708:45"
"1184","19716:92"
"1185","19730:21"
"1186","19730:64"
"1187","19730:71"
"1188","19731:69"
"1189","19731:125"
"1190","19739:85"
"1191","19807:116"
"1192","19807:181"
"1193","19861:41"
"1194","19861:121"
"1195","19902:159"
"1196","19902:191"
"1197","19902:196"
"1198","19902:223"
"1199","19908:160"
"1200","19919:54"
"1201","19936:138"
"1202","19946:207"
"1203","19954:99"
"1204","19990:206"
"1205","19990:207"
"1206","20004:203"
"1207","20094:84"
"1208","20094:108"
"1209","20094:116"
"1210","20094:148"
"1211","20094:150"
"1212","20094:192"
"1213","20094:202"
"1214","20124:74"
"1215","20161:67"
"1216","20161:72"
"1217","20161:102"
"1218","20161:111"
"1219","20161:118"
"1220","20161:124"
"1221","20161:144"
"1222","20180:101"
"1223","20180:132"
"1224","20192:108"
"1225","20192:109"
"1226","20221:162"
"1227","20221:192"
"1228","20227:27"
"1229","20256:73"
"1230","20256:163"
"1231","20278:65"
"1232","20302:26"
"1233","20388:55"
"1234","20388:129"
"1235","20514:206"
"1236","20546:65"
"1237","20659:8"
"1238","20659:22"
"1239","20659:28"
"1240","20659:89"
"1241","20709:20"
"1242","20709:28"
"1243","20709:37"
"1244","20709:107"
"1245","20719:216"
"1246","20723:29"
"1247","20765:155"
"1248","20771:24"
"1249","20771:33"
"1250","20771:34"
"1251","20771:42"
"1252","20771:98"
"1253","20887:141"
"1254","20910:109"
"1255","21042:28"
"1256","21043:215"
"1257","21070:63"
"1258","21070:84"
"1259","21088:138"
"1260","21101:90"
"1261","21126:119"
"1262","21209:28"
"1263","21209:47"
"1264","21209:49"
"1265","21209:91"
"1266","21209:108"
"1267","21265:90"
"1268","21313:44"
"1269","21315:184"
"1270","21357:98"
"1271","21357:116"
"1272","21357:117"
"1273","21377:195"
"1274","21388:169"
"1275","21400:89"
"1276","21441:67"
"1277","21441:69"
"1278","21441:115"
"1279","21446:198"
"1280","21509:150"
"1281","21528:205"
"1282","21530:111"
"1283","21564:102"
"1284","21582:121"
"1285","21651:41"
"1286","21654:159"
"1287","21733:181"
"1288","21733:204"
"1289","21733:268"
"1290","21733:269"
"1291","21741:107"
"1292","21762:17"
"1293","21762:155"
"1294","21762:217"
"1295","21766:158"
"1296","21766:159"
"1297","21766:175"
"1298","21770:164"
"1299","21792:160"
"1300","21876:184"
"1301","21925:69"
"1302","21982:50"
"1303","22044:28"
"1304","22092:26"
"1305","22092:83"
"1306","22092:136"
"1307","22092:137"
"1308","22092:149"
"1309","22180:28"
"1310","22187:69"
"1311","22228:59"
"1312","22244:17"
"1313","22280:101"
"1314","22292:42"
"1315","22292:46"
"1316","22312:70"
"1317","22312:89"
"1318","22323:21"
"1319","22323:88"
"1320","22323:131"
"1321","22341:109"
"1322","22377:161"
"1323","22444:186"
"1324","22444:221"
"1325","22444:232"
"1326","22508:44"
"1327","22508:100"
"1328","22508:188"
"1329","22532:229"
"1330","22538:30"
"1331","22541:71"
"1332","22548:30"
"1333","22548:48"
"1334","22548:74"
"1335","22548:92"
"1336","22548:93"
"1337","22621:151"
"1338","22621:175"
"1339","22636:219"
"1340","22647:170"
"1341","22728:75"
"1342","22800:155"
"1343","22855:110"
"1344","22922:186"
"1345","22928:21"
"1346","22928:23"
"1347","22968:29"
"1348","22979:147"
"1349","23029:182"
"1350","23055:27"
"1351","23136:108"
"1352","23157:59"
"1353","23216:112"
"1354","23216:175"
"1355","23216:182"
"1356","23231:130"
"1357","23273:5"
"1358","23278:9"
"1359","23293:86"
"1360","23293:91"
"1361","23339:31"
"1362","23340:37"
"1363","23340:43"
"1364","23416:7"
"1365","23416:143"
"1366","23458:57"
"1367","23458:251"
"1368","23512:155"
"1369","23523:142"
"1370","23523:143"
"1371","23555:89"
"1372","23589:158"
"1373","23600:152"
"1374","23600:190"
"1375","23606:162"
"1376","23629:109"
"1377","23690:76"
"1378","23690:86"
"1379","23728:77"
"1380","23774:33"
"1381","23774:45"
"1382","23774:57"
"1383","23774:76"
"1384","23774:114"
"1385","23848:61"
"1386","23917:89"
"1387","23917:176"
"1388","23935:30"
"1389","23955:74"
"1390","23955:123"
"1391","23955:147"
"1392","23955:159"
"1393","23955:181"
"1394","23955:221"
"1395","23973:13"
"1396","23998:11"
"1397","23998:12"
"1398","23998:127"
"1399","24023:7"
"1400","24095:58"
"1401","24101:170"
"1402","24102:60"
"1403","24114:147"
"1404","24139:275"
"1405","24161:149"
"1406","24170:133"
"1407","24180:42"
"1408","24221:113"
"1409","24221:138"
"1410","24221:145"
"1411","24277:127"
"1412","24347:25"
"1413","24347:28"
"1414","24347:66"
"1415","24347:145"
"1416","24347:154"
"1417","24347:166"
"1418","24347:173"
"1419","24347:189"
"1420","24426:39"
"1421","24426:65"
"1422","24444:90"
"1423","24469:189"
"1424","24471:120"
"1425","24539:121"
"1426","24565:195"
"1427","24580:143"
"1428","24598:84"
"1429","24598:140"
"1430","24609:45"
"1431","24609:63"
"1432","24609:68"
"1433","24617:156"
"1434","24624:5"
"1435","24624:107"
"1436","24682:187"
"1437","24730:152"
"1438","24786:73"
"1439","24786:159"
"1440","24798:114"
"1441","24826:7"
"1442","24826:63"
"1443","24826:149"
"1444","24849:59"
"1445","24878:33"
"1446","24878:190"
"1447","24930:210"
"1448","24939:22"
"1449","24939:64"
"1450","24958:208"
"1451","24995:171"
"1452","25008:56"
"1453","25008:75"
"1454","25008:123"
"1455","25019:37"
"1456","25019:38"
"1457","25042:123"
"1458","25100:171"
"1459","25100:191"
"1460","25106:37"
"1461","25106:74"
"1462","25127:173"
"1463","25129:169"
"1464","25164:15"
"1465","25177:13"
"1466","25177:48"
"1467","25204:6"
"1468","25204:8"
"1469","25204:100"
"1470","25209:73"
"1471","25209:88"
"1472","25209:100"
"1473","25255:28"
"1474","25255:67"
"1475","25255:172"
"1476","25275:175"
"1477","25284:127"
"1478","25298:55"
"1479","25302:213"
"1480","25312:20"
"1481","25376:107"
"1482","25415:182"
"1483","25424:115"
"1484","25444:133"
"1485","25445:7"
"1486","25456:29"
"1487","25456:49"
"1488","25456:196"
"1489","25456:208"
"1490","25456:226"
"1491","25508:15"
"1492","25508:65"
"1493","25513:220"
"1494","25556:141"
"1495","25567:16"
"1496","25567:107"
"1497","25567:123"
"1498","25567:167"
"1499","25567:182"
"1500","25634:200"
"1501","25666:84"
"1502","25666:123"
"1503","25666:160"
"1504","25666:180"
"1505","25670:52"
